Наименование;Группа видов номеналтуры;Папка видов номенклатуры;Вид номенклатуры;фильтр;Единица хранения;Артикул;Производитель;Поставщик;Товарная категория;Субкатегория;Бренд;Линейка;Сублинейка;Канал;Ценовая группа;Единица измерения веса;Вес;Единица измерения объема;Объем;Единица измерения площади;Площадь;Единица измерения длины;Длина;Ширина;Высота;Импортный товар (учет по ГТД);Единица измерения срока годности;Срок годности;Использовать упаковки;Набор упаковок;Код ТНВЭД;База;Литражи;Цвет (готовый / колеровка);Цвет (если готовый);Степень блеска;Эффект;Стиль;Применение (что красить);Применение (материал);Расход применения, литр/кг на м2;Класс износостойкости;Материал ORAC;Текстовое описание;Ссылка на фото;Высота ворса;Материал ворса;Толщина ворса;Материал ручки;Рабочая ширина;Диаметр ядра;Совместимость/механизм крепления;Тип крепления/диаметр бюгеля/резьбы;Посадка (посадочное место);Тип кромки/лезвия;Покрытие рабочей части;Материал плюша (для валиков);Состав щетины/филамента;Клей/степень адгезии;Адгезия/сила клея (метрика);Время безопасного снятия (нед.);УФ-стойкость;Температурная стойкость;Прозрачность/цветопередача;Прочность на разрыв;Растяжимость/удлинение;Многоразовость;Влагостойкость (да/нет);Совместимость со средой;Сертификация/стандарт;Условия эксплуатации/тип поверхности
C215F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C215F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;14,089;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;гибкий материал ;Гибкая версия C215. Линейный симметричный профиль. Этот классический карниз идеально впишется в любой интерьер. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 160 cm;https://drive.google.com/file/d/1G1VnP02EqiiOepUjVmecRMlW0cMgaOhp/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C216 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C216;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;8,48;;;;;см;200;;;Да;;;;;;;;;;;;Классический,современный;На стену ;;;;Полиуретан;Современный карниз с дизайном в классическом стиле. Этот элегантный профиль с орнаментом ионики сделает неповторимым любой интерьер. Вам нравится этот орнамент? Модель C212 имеет похожий привлекательный дизайн.;https://drive.google.com/file/d/1kh-mgGrYPvHyjyayCXTQFx0S7DYiH6Vo/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C217 Карниз лепной потолочный;Товары;Декор;Карнизы;1;Шт;C217;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;17,443;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;Полиуретан;Идеально симметричная модель Canterbury украшена одинаковым линейным узором по верхнему и нижнему краю. Этот хит продаж представлен также в версии меньшего (C213) и большего размера (C338).;https://drive.google.com/file/d/11WqmIcZqDIXVVImDywvo-2Emrtr0umUo/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C217F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C217F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;13,265;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;гибкий материал ;Гибкая версия C217. Идеально симметричная модель Canterbury украшена одинаковым линейным узором по верхнему и нижнему краю. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 380 cm;https://drive.google.com/file/d/1WPflYV0coOVhnqRF3ZkwRjhZ3KWSEI2-/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C219 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C219;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;8,96;;;;;см;200;;;Да;;;;;;;;;;;;орнаментальный,;На стену ;;;;Полиуретан;Этот высокий карниз, украшенный изысканными деталями листьев аканта, создан для роскошной отделки потолка. Примечания: Используйте DecoFix Power.;https://drive.google.com/file/d/11mdty0m5z3grp3mOtuEQcKuOR8u6i8EU/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C220 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C220;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;9,92;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;Полиуретан;Классический прямой карниз, протянутый через потолок. Многолетний хит продаж, который преобразит ваш интерьер.;https://drive.google.com/file/d/11YNZxHkkKKIr37T0w2N7LAbDsX2P7twM/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C220F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C220F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;16,46;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;гибкий материал ;Гибкая версия C220. Классический прямой карниз, протянутый через потолок. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 400 cm;https://drive.google.com/file/d/1y7gliuzgg_9YGBBiQXXKHNSJuuVGz0YD/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C230 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C230;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;9,657;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;Полиуретан;Узкий карниз с классическим линейным рисунком. Идеально подходит для деликатной отделки интерьеров разных стилей.;https://drive.google.com/file/d/1JW4USq0jfc1tQqEFwEmaV1dyDempAnsl/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C230F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C230F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;13,408;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;гибкий материал ;Гибкая версия C230. Узкий карниз с классическим линейным рисунком. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 150 cm;https://drive.google.com/file/d/1UZGAOd64ATFBecV1kCfZDu_Sjesw-KTO/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C240 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C240;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;9,65;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;Полиуретан;Простой полый карниз, вдохновленный стилем 30-х годов. Идеально подходит для деликатной и аккуратной отделки стыков между стенами и потолком.;https://drive.google.com/file/d/1HzOJFE7Im-Nobr9ZhkOieqm2izeGw9C4/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
