Наименование;Группа видов номеналтуры;Папка видов номенклатуры;Вид номенклатуры;фильтр;Единица хранения;Артикул;Производитель;Поставщик;Товарная категория;Субкатегория;Бренд;Линейка;Сублинейка;Канал;Ценовая группа;Единица измерения веса;Вес;Единица измерения объема;Объем;Единица измерения площади;Площадь;Единица измерения длины;Длина;Ширина;Высота;Импортный товар (учет по ГТД);Единица измерения срока годности;Срок годности;Использовать упаковки;Набор упаковок;Код ТНВЭД;База;Литражи;Цвет (готовый / колеровка);Цвет (если готовый);Степень блеска;Эффект;Стиль;Применение (что красить);Применение (материал);Расход применения, литр/кг на м2;Класс износостойкости;Материал ORAC;Текстовое описание;Ссылка на фото;Высота ворса;Материал ворса;Толщина ворса;Материал ручки;Рабочая ширина;Диаметр ядра;Совместимость/механизм крепления;Тип крепления/диаметр бюгеля/резьбы;Посадка (посадочное место);Тип кромки/лезвия;Покрытие рабочей части;Материал плюша (для валиков);Состав щетины/филамента;Клей/степень адгезии;Адгезия/сила клея (метрика);Время безопасного снятия (нед.);УФ-стойкость;Температурная стойкость;Прозрачность/цветопередача;Прочность на разрыв;Растяжимость/удлинение;Многоразовость;Влагостойкость (да/нет);Совместимость со средой;Сертификация/стандарт;Условия эксплуатации/тип поверхности
Краска Сharmant Majestic полуматовая акрил-уретановая для влажных помещений база А 2,7 л;Товары;ЛКМ;Интерьерные краски;1;Шт;00-00010117-27;"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Majestic;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;102,6;;;;;;;;;;;База А;2,7;Колеровка;;Полуматовая;;;Стены ,Потолок,;;38;2 класс;;Профессиональная акрил-уретановая композиция, созданная для отделки помещений с высокой влажностью. Идеально подходит для ванных комнат, кухонь и других зон с интенсивной эксплуатацией.;https://drive.google.com/file/d/1-Ef3dC_XSpjUDfmYqeKIyOcH6rgZMOOY/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Majestic полуматовая акрил-уретановая для влажных помещений база А 9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010117-90
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Majestic;;Décor Plus;Премиум;л (дм3);;л (дм3);9;м2;1134;;;;;;;;;;;База А;9;Колеровка;;Полуматовая;;;Стены ,Потолок,;;126;2 класс;;Профессиональная акрил-уретановая композиция, созданная для отделки помещений с высокой влажностью. Идеально подходит для ванных комнат, кухонь и других зон с интенсивной эксплуатацией.;https://drive.google.com/file/d/1C7fkMGGkpS-Y5U9anvYjrHhmIAnK3uiD/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Sommet акрил-уретановая для стен и потолков база А 0,9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010119-09
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Sommet;;Décor Plus;Средний;л (дм3);;л (дм3);0,9;м2;12,6;;;;;;;;;;;База А;0,9;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;14;3 класс;;Высококачественная акрил-уретановая краска на базе A объемом 0,9 л, предназначенная для окрашивания стен и потолков внутри помещений. Обеспечивает прочное, долговечное и эстетичное покрытие.;https://drive.google.com/file/d/155O2sytEtzla3mYW9cWLDK3CnvoURnPW/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Sommet акрил-уретановая для стен и потолков база А 2,7 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010119-27
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Sommet;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;102,6;;;;;;;;;;;База А;2,7;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;38;3 класс;;Высококачественная акрил-уретановая краска на базе A объемом 0,9 л, предназначенная для окрашивания стен и потолков внутри помещений. Обеспечивает прочное, долговечное и эстетичное покрытие.;https://drive.google.com/file/d/1AEhvsp4QSCwM6fFRzP5C8UIrgibXb_a-/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Sommet акрил-уретановая для стен и потолков база А 9;Товары;ЛКМ;Интерьерные краски;1;Шт;00-00010119-90;"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Sommet;;Décor Plus;Премиум;л (дм3);;л (дм3);9;м2;1134;;;;;;;;;;;База А;9;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;126;3 класс;;Высококачественная акрил-уретановая краска на базе A объемом 0,9 л, предназначенная для окрашивания стен и потолков внутри помещений. Обеспечивает прочное, долговечное и эстетичное покрытие.;https://drive.google.com/file/d/16zwW_Ksv3dEVcVJnOD4dW2Tyqkt-2UTg/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Excellence матовая моющаяся акрил-уретановая база А 0,9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010121-09
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Excellence;;Décor Plus;Средний;л (дм3);;л (дм3);0,9;м2;12,6;;;;;;;;;;;База А;0,9;Колеровка;;Матовая;;;Стены ,Потолок,;;14;3 класс;;Высококачественная профессиональная акрил-уретановая композиция, предназначенная для надежной и долговечной отделки интерьеров. Подходит для жилых и общественных помещений с интенсивной эксплуатацией.;https://drive.google.com/file/d/1sZsUf5cVjMa5P6WI72MXYuI9kx-HQuBV/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Excellence матовая моющаяся акрил-уретановая база А 2,7 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010121-27
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Excellence;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;102,6;;;;;;;;;;;База А;2,7;Колеровка;;Матовая;;;Стены ,Потолок,;;38;3 класс;;Высококачественная профессиональная акрил-уретановая композиция, предназначенная для надежной и долговечной отделки интерьеров. Подходит для жилых и общественных помещений с интенсивной эксплуатацией.;https://drive.google.com/file/d/12ympQzcyYxkAvht1X4rPY6W3O6zY7Gcb/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Excellence матовая моющаяся акрил-уретановая база А 9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010121-90
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Excellence;;Décor Plus;Премиум;л (дм3);;л (дм3);9;м2;1134;;;;;;;;;;;База А;9;Колеровка;;Матовая;;;Стены ,Потолок,;;126;3 класс;;Высококачественная профессиональная акрил-уретановая композиция, предназначенная для надежной и долговечной отделки интерьеров. Подходит для жилых и общественных помещений с интенсивной эксплуатацией.;https://drive.google.com/file/d/1YNFOpYM7tThYREQMUclJWNELMgA5J3dN/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Charmant Ultra ультраматовая акрил-уретановая, база А 0,9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00012991-09
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Charmant Ultra;;Décor Plus;Средний;л (дм3);;л (дм3);0,9;м2;10,8;;;;;;;;;;;База А;0,9;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;12;3 класс;;Профессиональная акрил-уретановая формула, разработанная для безупречной отделки стен и потолков. Подходит для применения в жилых и общественных интерьерах.;https://drive.google.com/file/d/1uSOMuwf58l6EFlT_v9C3DRk1VZmjMuce/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Charmant Ultra ультраматовая акрил-уретановая, база А 2,7 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00012991-27
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Charmant Ultra;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;86,4;;;;;;;;;;;База А;2,7;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;32;3 класс;;Профессиональная акрил-уретановая формула, разработанная для безупречной отделки стен и потолков. Подходит для применения в жилых и общественных интерьерах.;https://drive.google.com/file/d/1yJkomKLkDW1QldyV9agu2ELVU-ZmLEt-/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Charmant Ultra ультраматовая акрил-уретановая, база А 9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00012991-90
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Charmant Ultra;;Décor Plus;Премиум;л (дм3);;л (дм3);9;м2;972;;;;;;;;;;;База А;9;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;108;3 класс;;Профессиональная акрил-уретановая формула, разработанная для безупречной отделки стен и потолков. Подходит для применения в жилых и общественных интерьерах.;https://drive.google.com/file/d/1Bhe2uAuqDv2uomLc7PMGuitd2YnFHAFT/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Грунтовка Сharmant Stable акрил-уретановая глубокого проникновения 2,7 л;Товары;ЛКМ;Грунты и шпатлевки;1;Шт;"00-00010123-27
";"ООО ""Лоймина""";"ООО ""Лоймина""";Грунты;;Charmant;Сharmant Stable;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;108;;;;;;;;;;;;2,7;Колеровка;;Матовая;;;Стены ,Потолок,;;40;3 класс;;Профессиональная акрил-уретановая грунтовочная Краска глубокого проникновения, обеспечивающая прочную и стабильную основу под отделочные материалы, включая матовую краску.;https://drive.google.com/file/d/1Gl2JVMQ-ARHwGh9SJs5t32gIZwUEASB3/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Грунтовка Сharmant Stable акрил-уретановая глубокого проникновения 9 л;Товары;ЛКМ;Грунты и шпатлевки;1;Шт;"00-00010123-90
";"ООО ""Лоймина""";"ООО ""Лоймина""";Грунты;;Charmant;Сharmant Stable;;Décor Plus;Средний;л (дм3);;л (дм3);9;м2;1215;;;;;;;;;;;;9;Колеровка;;Матовая;;;Стены ,Потолок,;;135;3 класс;;Профессиональная акрил-уретановая грунтовочная Краска глубокого проникновения, обеспечивающая прочную и стабильную основу под отделочные материалы, включая матовую краску.;https://drive.google.com/file/d/1liZSioDi0E8useGDUUCKEJxuKxpqlHiV/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Грунт-краска Сharmant Fond акрил-уретановая 2,7 л;Товары;ЛКМ;Грунты и шпатлевки;1;Шт;"00-00010124-27
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Fond;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;72,9;;;;;;;;;;;;2,7;Колеровка;;Матовая;;;Стены ,Потолок,;;27;3 класс;;профессиональная акрил-уретановая грунт-краска объёмом 2,7 л, разработанная для эффективной подготовки поверхностей перед финишной отделкой. Подходит для внутренних работ.;https://drive.google.com/file/d/1MThM4xTEMS6KIzAGRxn0fdugua_YmWbw/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Грунт-краска Сharmant Fond акрил-уретановая 9 л;Товары;ЛКМ;Грунты и шпатлевки;1;Шт;"00-00010124-90
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Fond;;Décor Plus;Премиум;л (дм3);;л (дм3);9;м2;80;;;;;;;;;;;;9;Колеровка;;Матовая;;;Стены ,Потолок,;;90;3 класс;;профессиональная акрил-уретановая грунт-краска объёмом 2,7 л, разработанная для эффективной подготовки поверхностей перед финишной отделкой. Подходит для внутренних работ.;https://drive.google.com/file/d/1tWe_900iRD_QlKGxJwC41_nuU50zRdsk/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Solid глубокоматовая моющаяся акрил-уретановая база С 0,9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010116-09
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Solid;;Décor Plus;Средний;л (дм3);;л (дм3);0,9;м2;12,6;;;;;;;;;;;База С;0,9;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;14;3 класс;;Профессиональная акрил-уретановая краска, идеально подходящая для интерьеров, где требуется прочное и долговечное покрытие. Продукт специально разработан для помещений с повышенной нагрузкой и частым влажным уходом.;https://drive.google.com/file/d/1hQUjbAjMCxYEarzVws0F6Hgq1ISuE7PO/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Solid глубокоматовая моющаяся акрил-уретановая база С 2,7 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010116-27
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Solid;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;102,6;;;;;;;;;;;База С;2,7;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;38;3 класс;;Профессиональная акрил-уретановая краска, идеально подходящая для интерьеров, где требуется прочное и долговечное покрытие. Продукт специально разработан для помещений с повышенной нагрузкой и частым влажным уходом.;https://drive.google.com/file/d/1HBZOvMbYQTXm3xZeeSdx7_xa0Qx_0erM/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Solid глубокоматовая моющаяся акрил-уретановая база С 9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010116-90
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Solid;;Décor Plus;Премиум;л (дм3);;л (дм3);9;м2;1134;;;;;;;;;;;База С;9;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;126;3 класс;;Профессиональная акрил-уретановая краска, идеально подходящая для интерьеров, где требуется прочное и долговечное покрытие. Продукт специально разработан для помещений с повышенной нагрузкой и частым влажным уходом.;https://drive.google.com/file/d/1oiBw4lSHVnyd_zYdGFayYr3zYIy-6TW8/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Majestic полуматовая акрил-уретановая для влажных помещений база С 0,9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010118-09
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Majestic;;Décor Plus;Средний;л (дм3);;л (дм3);0,9;м2;12,6;;;;;;;;;;;База С;0,9;Колеровка;;Полуматовая;;;Стены ,Потолок,;;14;3 класс;;Профессиональная акрил-уретановая формула, разработанная специально для отделки влажных помещений. Подходит для ванных комнат, кухонь и других зон с повышенной влажностью.;https://drive.google.com/file/d/1HcLwsWsiqkfE5c47n8r9Sjsw0mur33Lz/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Majestic полуматовая акрил-уретановая для влажных помещений база С 2,7 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010118-27
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Majestic;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;102,6;;;;;;;;;;;База С;2,7;Колеровка;;Полуматовая;;;Стены ,Потолок,;;38;3 класс;;Профессиональная акрил-уретановая формула, разработанная специально для отделки влажных помещений. Подходит для ванных комнат, кухонь и других зон с повышенной влажностью.;https://drive.google.com/file/d/170GEFDPFsKgMwOB4hTL-YU2pumFB28zJ/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Majestic полуматовая акрил-уретановая для влажных помещений база С 9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010118-90
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Majestic;;Décor Plus;Премиум;л (дм3);;л (дм3);9;м2;1134;;;;;;;;;;;База С;9;Колеровка;;Полуматовая;;;Стены ,Потолок,;;126;3 класс;;Профессиональная акрил-уретановая формула, разработанная специально для отделки влажных помещений. Подходит для ванных комнат, кухонь и других зон с повышенной влажностью.;https://drive.google.com/file/d/1Junez3CnGYkT5nqR8w3-2xkEJpcBG0HF/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Sommet акрил-уретановая для стен и потолков база С 0,9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010120-09
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Sommet;;Décor Plus;Средний;л (дм3);;л (дм3);0,9;м2;12,6;;;;;;;;;;;База С;0,9;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;14;3 класс;;Акрил-уретановая краска объемом 0,9 л на базе C, специально разработанная для качественной отделки стен и потолков. Отличается высокой укрывистостью, устойчивостью к мытью и долговечным покрытием.;https://drive.google.com/file/d/15ldpo-9tVzzf8vYM8IHBhiDoGBUF7yXz/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Sommet акрил-уретановая для стен и потолков база С 2,7 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010120-27
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Sommet;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;102,6;;;;;;;;;;;База С;2,7;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;38;3 класс;;Акрил-уретановая краска объемом 0,9 л на базе C, специально разработанная для качественной отделки стен и потолков. Отличается высокой укрывистостью, устойчивостью к мытью и долговечным покрытием.;https://drive.google.com/file/d/1XOUnOTar3Tc98742-NC-pbV15kwZGKsM/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Sommet акрил-уретановая для стен и потолков база С 9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010120-90
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Sommet;;Décor Plus;Премиум;л (дм3);;л (дм3);9;м2;1134;;;;;;;;;;;База С;9;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;126;3 класс;;Акрил-уретановая краска объемом 0,9 л на базе C, специально разработанная для качественной отделки стен и потолков. Отличается высокой укрывистостью, устойчивостью к мытью и долговечным покрытием.;https://drive.google.com/file/d/1xlg6vgKEHeXOmCuz1l0e9Ii8WecLBkNg/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Excellence матовая моющаяся акрил-уретановая база С 0,9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010122-09
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Excellence;;Décor Plus;Средний;л (дм3);;л (дм3);0,9;м2;12,6;;;;;;;;;;;База С;0,9;Колеровка;;Матовая;;;Стены ,Потолок,;;14;3 класс;;Профессиональная акрил-уретановая краска, предназначенная для высококачественной отделки интерьеров. Отличается высокой износостойкостью и идеальна для жилых и коммерческих помещений с повышенной нагрузкой.;https://drive.google.com/file/d/1_Kng-JBPSPHXpnaoIHcTzk9pOfnNFRYT/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Excellence матовая моющаяся акрил-уретановая база С 2,7 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010122-27
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Excellence;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;102,6;;;;;;;;;;;База С;2,7;Колеровка;;Матовая;;;Стены ,Потолок,;;38;3 класс;;Профессиональная акрил-уретановая краска, предназначенная для внутренних работ. Отличается высокой устойчивостью к мытью и износу, что делает её идеальным решением для жилых и коммерческих помещений.;https://drive.google.com/file/d/1X_6oofadt163K38O8YnZ8LAvM0DGgpK8/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Excellence матовая моющаяся акрил-уретановая база С 9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00010122-90
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Сharmant Excellence;;Décor Plus;Премиум;л (дм3);;л (дм3);9;м2;1134;;;;;;;;;;;База С;9;Колеровка;;Матовая;;;Стены ,Потолок,;;126;3 класс;;Профессиональная акрил-уретановая краска с стойким матовым покрытием. Разработана для высококачественной отделки стен и потолков в интерьерах с повышенными требованиями к прочности и эстетике.;https://drive.google.com/file/d/1Z5uL2NxcvZ2upaHMR1ocXI7RaaiLcdeC/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Charmant Ultra ультраматовая акрил-уретановая, база С 0,9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00012992-09
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Charmant Ultra;;Décor Plus;Средний;л (дм3);;л (дм3);0,9;м2;10,8;;;;;;;;;;;База С;0,9;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;12;3 класс;;Профессиональная акрил-уретановая краска объёмом 0,9 л, предназначенная для высококачественной отделки стен и потолков. Подходит для жилых и коммерческих помещений.;https://drive.google.com/file/d/1j2Yb5RqG3CKVb1REGWh1d9Yfb1qCYflW/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Charmant Ultra ультраматовая акрил-уретановая, база С 2,7 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00012992-27
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Charmant Ultra;;Décor Plus;Средний;л (дм3);;л (дм3);2,7;м2;86,4;;;;;;;;;;;База С;2,7;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;32;3 класс;;Профессиональная акрил-уретановая краска с ультраматовым, глубокоматовым финишем. Идеально подходит для стен и потолков в жилых и общественных помещениях.;https://drive.google.com/file/d/1dl57zDDwy_p3JlDnuVOcxKbA5p9DTO1b/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Charmant Ultra ультраматовая акрил-уретановая, база С 9 л;Товары;ЛКМ;Интерьерные краски;1;Шт;"00-00012992-90
";"ООО ""Лоймина""";"ООО ""Лоймина""";Интерьерные краски;;Charmant;Charmant Ultra;;Décor Plus;Премиум;л (дм3);;л (дм3);9;м2;972;;;;;;;;;;;База С;9;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;108;3 класс;;Профессиональная акрил-уретановая краска с ультраматовым, глубокоматовым финишем. Идеально подходит для современных интерьеров, требующих выразительного и в то же время сдержанного покрытия.;https://drive.google.com/file/d/198I2GlO_zmzYiFv0nrMT-ncXCbYROb--/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Excellence матовая моющаяся акрил-уретановая база A 0,4 л;Товары;ЛКМ;Тестеры;1;Шт;"00-00010121-04
";"ООО ""Лоймина""";"ООО ""Лоймина""";Пробники;;Charmant;Сharmant Excellence;;Décor Plus;Средний;л (дм3);;л (дм3);0,4;м2;;;;;;;;;;;;База А;0,4;Колеровка;;Матовая;;;Стены ,Потолок,;;;3 класс;;Матовая водно-дисперсионная акрил-уретановая краска Сharmant Excellence для окраски стен и потолков внутри помещений. Экологична, без резкого запаха. Создает гладкое и прочное покрытие с шелковистым эффектом и высокой степенью насыщенности цвета. Содержит добавки от плесени и грибка.;https://drive.google.com/file/d/1Q1i4hBkTbMl0G6ltjt4PikkD0mWt8Ek2/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Solid глубокоматовая моющаяся акрил-уретановая база А 0,4 л;Товары;ЛКМ;Тестеры;1;Шт;"00-00010115-04
";"ООО ""Лоймина""";"ООО ""Лоймина""";Пробники;;Charmant;Сharmant Solid;;Décor Plus;Средний;л (дм3);;л (дм3);0,4;м2;;;;;;;;;;;;База А;0,4;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;;3 класс;;Матовая водно-дисперсионная акрил-уретановая краска Сharmant Excellence для окраски стен и потолков внутри помещений. Экологична, без резкого запаха. Создает гладкое и прочное покрытие с шелковистым эффектом и высокой степенью насыщенности цвета. Содержит добавки от плесени и грибка.;https://drive.google.com/file/d/1_hA69g2AFD72mjECzRa590wTkF5YcWXy/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Charmant Ultra ультраматовая акрил-уретановая, база А 0,4 л;Товары;ЛКМ;Тестеры;1;Шт;"00-00012991-04
";"ООО ""Лоймина""";"ООО ""Лоймина""";Пробники;;Charmant;Charmant Ultra;;Décor Plus;Средний;л (дм3);;л (дм3);0,4;м2;;;;;;;;;;;;База А;0,4;Колеровка;;Ультраматовая;;;Стены ,Потолок,;;;3 класс;;Глубокоматовая водно-дисперсионная акрил-уретановая краска Charmant Ultra для внутренней отделки помещений. Экологична, без резкого запаха. Создает беспрецедентно ультраматовую фактуру с благородной шагренью и высокой степенью стойкости к мытью. Содержит добавки от плесени и грибка.;https://drive.google.com/file/d/1xrNens1d5yumdQJww0fz0XLABCJAfLtM/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Majestic полуматовая акрил-уретановая для влажных помещений база А 0,4 л;Товары;ЛКМ;Тестеры;1;Шт;"00-00010117-04
";"ООО ""Лоймина""";"ООО ""Лоймина""";Пробники;;Charmant;Сharmant Majestic;;Décor Plus;Средний;л (дм3);;л (дм3);0,4;м2;;;;;;;;;;;;База А;0,4;Колеровка;;Полуматовая;;;Стены ,Потолок,;;;3 класс;;Глубокоматовая водно-дисперсионная акрил-уретановая краска Charmant Ultra для внутренней отделки помещений. Экологична, без резкого запаха. Создает беспрецедентно ультраматовую фактуру с благородной шагренью и высокой степенью стойкости к мытью. Содержит добавки от плесени и грибка.;https://drive.google.com/file/d/1amR8d8vYBd4487mGcwNmWGOahSIIwAMM/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Excellence матовая моющаяся акрил-уретановая база С 0,4 л;Товары;ЛКМ;Тестеры;1;Шт;"00-00010122-04
";"ООО ""Лоймина""";"ООО ""Лоймина""";Пробники;;Charmant;Сharmant Excellence;;Décor Plus;Средний;л (дм3);;л (дм3);0,4;м2;;;;;;;;;;;;База С;0,4;Колеровка;;Матовая;;;Стены ,Потолок,;;;3 класс;;Матовая водно-дисперсионная акрил-уретановая краска Сharmant Excellence для окраски стен и потолков внутри помещений. Экологична, без резкого запаха. Создает гладкое и прочное покрытие с шелковистым эффектом и высокой степенью насыщенности цвета. Содержит добавки от плесени и грибка.;https://drive.google.com/file/d/1-MVzOyLwToanQUqgBZFORYiSwWYkjIoq/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
Краска Сharmant Solid глубокоматовая моющаяся акрил-уретановая база С 0,4 л;Товары;ЛКМ;Тестеры;1;Шт;"00-00010116-04
";"ООО ""Лоймина""";"ООО ""Лоймина""";Пробники;;Charmant;Сharmant Solid;;Décor Plus;Средний;л (дм3);;л (дм3);0,4;м2;;;;;;;;;;;;База С;0,4;Колеровка;;Глубокоматовая;;;Стены ,Потолок,;;;3 класс;;Глубокоматовая водно-дисперсионная акрил-уретановая краска Сharmant Solid для внутренней отделки помещений. Экологична, без резкого запаха. Обладает повышенной износостойкостью и механической прочностью, придает поверхности тактильно приятное бархатистое покрытие без бликов. Содержит добавки от плесени и грибка.;https://drive.google.com/file/d/1OkvD7FMGQEMkXsGtP_FkuqBfXI8FZxq3/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
